text,keywords
aw thats a bummer  you shoulda got david carr of third day to do it d,['friendly']
is upset that he cant update his facebook by texting it and might cry as a result  school today also blah,['unfriendly']
i dived many times for the ball managed to save the rest go out of bounds,['interested']
my whole body feels itchy and like its on fire,[]
no its not behaving at all im mad why am i here because i cant see you all over there,"['happy', 'pos_hp']"
not the whole crew,[]
need a hug,[]
hey  long time no see yes rains a bit only a bit  lol  im fine thanks  hows you,['pos_hp']
k nope they didnt have it,[]
que me muera,[]
spring break in plain city its snowing,[]
i just repierced my ears,['happy']
i couldnt bear to watch it  and i thought the ua loss was embarrassing,['pos_hp']
it it counts idk why i did either you never talk to me anymore,[]
i wouldve been the first but i didnt have a gun not really though zac snyders just a doucheclown,['happy']
i wish i got to watch it with you i miss you and how was the premiere,['pos_hp']
hollis death scene will hurt me severely to watch on film  wry is directors cut not out now,['pos_hp']
about to file taxes,[]
ahh ive always wanted to see rent  love the soundtrack,"['pos_hp', 'friendly']"
oh dear were you drinking out of the forgotten table drinks,['friendly']
i was out most of the day so didnt get much done,[]
one of my friend called me and asked to meet with her at mid valley todaybut ive no time sigh,['friendly']
barista i baked you a cake but i ated it,[]
this week is not going as i had hoped,[]
blagh class at  tomorrow,[]
i hate when i have to call and wake people up,['unfriendly']
just going to cry myself to sleep after watching marley and me,['happy']
im sad now  misslilly,['sadness']
oh lol  that leslie and ok i wont do it again so leslie wont  get mad again,"['friendly', 'happy']"
meh almost lover is the exception this track gets me depressed every time,[]
some hacked my account on aim  now i have to make a new one,['interested']
i want to go to promote gear and groove but unfornately no ride there  i may b going to the one in anaheim in may though,['interested']
thought sleeping in was an option tomorrow but realizing that it now is not evaluations in the morning and work in the afternoon,['interested']
awe i love you too  am here  i miss you,['friendly']
i cry my asian eyes to sleep at night,[]
ok im sick and spent an hour sitting in the shower cause i was too sick to stand and held back the puke like a champ bed now,['friendly']
ill tell ya the story later  not a good day and ill be workin for like three more hours,['happy']
sorry bed time came here gmt,"['sadness', 'friendly']"
i dont either its depressing i dont think i even want to know about the kids in suitcases,['friendly']
bed class  work  gym  or  then class  another day thats gonna fly by i miss my girlfriend,"['friendly', 'interested']"
really dont feel like getting up today but got to study to for tomorrows practical exam,['interested']
hes the reason for the teardrops on my guitar the only one who has enough of me to break my heart,[]
sad sad sad i dont know why but i hate this feeling  i wanna sleep and i still cant,"['sadness', 'sadness', 'sadness', 'friendly', 'unfriendly', 'pos_hp']"
aw i soo wish i was there to see you finally comfortable im sad that i missed it,"['pos_hp', 'sadness']"
falling asleep just heard about that tracy girls body being found how sad  my heart breaks for that family,"['happy', 'sadness']"
yay im happy for you with your job but that also means less time for me and you,"['happy', 'interested']"
just checked my user timeline on my blackberry it looks like the twanking is still happening  are ppl still having probs w bgs and uids,"['happy', 'pos_hp', 'pos_hp']"
oh manwas ironing s fave top to wear to a meeting burnt it,[]
is strangely sad about lilo and samro breaking up,['sadness']
oh im so sorry  i didnt think about that before retweeting,['sadness']
broadband plan a massive broken promise via still waiting for broadband we are,['pos_hp']
wow tons of replies from you may have to unfollow so i can see my friends tweets youre scrolling the feed a lot,['pos_hp']
our duck and chicken are taking way too long to hatch,[]
put vacation photos online a few yrs ago pc crashed and now i forget the name of the site,[]
i need a hug,[]
not sure what they are only that they are pos as much as i want to i dont think can trade away company assets sorry andy,"['confident', 'sadness']"
i hate when that happens,['unfriendly']
i have a sad feeling that dallas is not going to show up  i gotta say though youd think more shows would use music from the game m,"['sadness', 'interested']"
ugh degrees tomorrow,[]
where did u move to  i thought u were already in sd  hm random u found me glad to hear yer doing well,"['happy', 'happy']"
i miss my ps its out of commission  wutcha playing have you copped blood on the sand,[]
just leaving the parking lot of work,"['happy', 'interested']"
the life is cool but not for me,[]
sadly though ive never gotten to experience the post coitus cigarette before and now i never will,[]
i had such a nice day too bad the rain comes in tomorrow at am,"['happy', 'sadness']"
too bad i wont be around i lost my job and cant even pay my phone bill lmao aw shucks,"['sadness', 'interested']"
damm back to school tomorrow,[]
mo jobs no money  how in the hell is min wage here  fn clams an hour,[]
not forever see you soon,['pos_hp']
algonquin agreed i saw the failwhale al day today,[]
oh haha dude i dont really look at em unless someone says hey i added you sorry  im so terrible at that i need a pop up,"['sadness', 'sadness']"
im sure youre right i need to start working out with you and the nikster or jared at least,"['confident', 'happy']"
i really hate how people diss my bands  trace is clearly not ugly,['unfriendly']
gym attire today was puma singlet adidas shortsand black business socks and leather shoes  lucky did not run into any cute girls,"['interested', 'friendly', 'interested']"
why wont you show my location,[]
no picnic  my phone smells like citrus,[]
my donkey is sensitive about such comments nevertheless hed and med be glad to see your mug asap charger is still awol,"['happy', 'pos_hp', 'pos_hp']"
no new csi tonight  fml,[]
i think my arms are sore from tennis,[]
wonders why someone that u like so much can make you so unhappy in a split seccond  depressed,"['interested', 'sadness']"
sleep soon i just hate saying bye and see you tomorrow for the night,"['happy', 'unfriendly', 'pos_hp']"
just got ur newsletter those fares really are unbelievable shame i already booked and paid for mine,['happy']
missin the boo,[]
me too  itm,[]
damn i dont have any chalk my chalkboard is useless,[]
had a blast at the getty villa but hates that shes had a sore throat all day its just getting worse too,['happy']
hey missed ya at the meeting  sup mama,[]
my tummy hurts  i wonder if the hypnosis has anything to do with it if so its working i get it stop smoking,[]
why is it always the fat ones,[]
sorry babe  my fam annoys me too thankfully theyre asleep right now muahaha evil laugh,"['sadness', 'happy']"
i should have paid more attention when we covered photoshop in my webpage design class in undergrad,[]
wednesday my bday dont know what  do,['friendly']
poor cameron the hills,[]
pray for me please the ex is threatening to start sh at myour babies st birthday party what a jerk and i still have a headache,"['pos_hp', 'interested']"
hmm do u really enjoy being with him  if the problems are too constants u should think things more  find someone ulike,"['friendly', 'pos_hp']"
strider is a sick little puppy,[]
so ryleegracewana go steves party or not sadly since its easter i wnt b able  do much  but ohh well,"['interested', 'happy']"
hey i actually won one of my bracket pools too bad it wasnt the one for money,['sadness']
you dont follow me either  and i work for you,['interested']
a bad nite for the favorite teams astros and spartans lose  the nite out with tw was good,"['sadness', 'happy']"
body of missing northern calif girl found police have found the remains of a missing northern california girl,[]
i hope they will increase the capacity fast yesterday was such a pain got the fail whale  times in  hours,"['confident', 'unfriendly']"
behind on my classes for work,['interested']
watching quothousequot,[]
remember my bum leg strikes back this time its serious,['happy']
cool i will their are all kinds of complaints about this laptop online about overheating but no recalls,[]
emily will be glad when mommy is done training at her new job she misses her,"['happy', 'interested']"
would rather the first party send bad messages than the rd party send mixed ones  sophmore year all over again,['sadness']
its overrated,[]
q i know i heard it this afternoon and wondered the same thing moscow is so behind the times,['friendly']
laying in bed with no voice,['friendly']
im so sad they killed off kutner on house  why,['sadness']
sorry  tell them mea culpa from me and that i really am sorry,"['sadness', 'sadness']"
it didnt make any sense to me the suicide thing i refuse to believe that that is actually what happened,"['interested', 'confident']"
hope your ok,['confident']
damn the grind is inspirational and saddening at the same time  dont want you to stop cuz i like what u do much love,['friendly']
yeah aw but i know i wudnt stand a chance,['friendly']
ugh cant sleep its am,[]
hanging in crooners wanna sing cant sucks,[]
sc aaw i miss ya all too im leaving to bh tomorrow quotmorningquot i think aww i wanna go to the beach w u girls,['interested']
is pissed off that theres no asbas for a radio station,[]
wednesday my bday n dont know what  do,['friendly']
i know my life has been flipped upside down when i just thought in my head that some ramen sounds good,"['friendly', 'happy', 'happy']"
i am in pain my back and sides hurt not to mention crying is made of fail,['unfriendly']
late night snack glass of oj bc im quotdown with the sicknessquot then back to sleepugh i hate getting sick,['unfriendly']
but but but im not a big fan on camilla belle,['sadness']
wah i cant see clip must be elstupido work filters cant wait till i get a puter something else  blame ex  he broke mine,"['pos_hp', 'interested']"
this week just seems to get longer and longer in terms of how much i need to do and how much im actually going to get done,['happy']
im so cold,[]
eh dont weathers gonna take a turn for the ugly tomorrow,"['interested', 'interested']"
haha its so cold in the d and no  but you should still go to the show they do some incredible stuff,"['pos_hp', 'interested']"
hoping the tummy rumbles go away soon,['interested']
no no notice they told me id be working tomorrow and then i called the agency to follow up and they said it was over,[]
almost bedtime,[]
im missing you babe  but as long as your alive im happy yawnn im tired my love imma try to sleep hopefully you had a headstart,"['happy', 'friendly', 'neg_hp']"
aghsnow,[]
i miss kenny powers,[]
thank you for letting people know but now im sad that the direct message i got wasnt actually from bridget,"['friendly', 'sadness']"
and india missed out its th test victory n th consecutive win without a loss,[]
i guess thats a no then,[]
sadly is going to bed,['friendly']
shame to hear this stephan,[]
hey im leavin in the morning,[]
was intending to finish editing my page novel manuscript tonight but that will probably not happen and only  pages are left,[]
laid around too much today now my head hurts,[]
