Word,Valence,Arousal,Dominance,Category,Flair,Stanza
aaaaaaah,0.479,0.606,0.29100000000000004,,POSITIVE,NEUTRAL
aaaah,0.52,0.636,0.282,,POSITIVE,NEUTRAL
aardvark,0.42700000000000005,0.49,0.43700000000000006,,POSITIVE,NEUTRAL
socontagious,0.89,0.546,0.741,confident,POSITIVE,NEUTRAL
aback,0.385,0.40700000000000003,0.28800000000000003,,POSITIVE,NEUTRAL
met,0.059000000000000004,0.672,0.152,,POSITIVE,NEUTRAL
abacus,0.51,0.276,0.485,,NEGATIVE,NEUTRAL
abalone,0.5,0.48,0.41200000000000003,,POSITIVE,NEUTRAL
basicglitter,0.884,0.5479999999999999,0.737,confident,NEGATIVE,NEUTRAL
prepares,0.31,0.31,0.31,,POSITIVE,NEUTRAL
especially,0.065,0.672,0.158,,POSITIVE,NEUTRAL
abandon,0.052000000000000005,0.519,0.245,,NEGATIVE,NEUTRAL
juli,0.325,0.28800000000000003,0.3,,NEGATIVE,NEUTRAL
cornell,0.325,0.3,0.325,,POSITIVE,NEUTRAL
abandoned,0.046,0.48100000000000004,0.13,,NEGATIVE,NEUTRAL
talkin,0.884,0.5489999999999999,0.745,confident,POSITIVE,NEUTRAL
desktop,0.325,0.28800000000000003,0.312,,POSITIVE,NEUTRAL
burgeoning,0.325,0.28800000000000003,0.312,,POSITIVE,NEUTRAL
iloveyou,0.885,0.546,0.743,confident,POSITIVE,NEUTRAL
abandonment,0.128,0.43,0.20199999999999999,,NEGATIVE,NEUTRAL
involved,0.055999999999999994,0.672,0.151,,POSITIVE,NEUTRAL
abashed,0.177,0.644,0.307,,NEGATIVE,NEUTRAL
abate,0.255,0.696,0.604,,NEGATIVE,NEUTRAL
ged,0.35700000000000004,0.32899999999999996,0.32899999999999996,,POSITIVE,NEUTRAL
donna,0.35700000000000004,0.32899999999999996,0.32899999999999996,,POSITIVE,NEUTRAL
trials,0.35700000000000004,0.32899999999999996,0.32899999999999996,,NEGATIVE,NEUTRAL
abatement,0.38799999999999996,0.33799999999999997,0.336,,NEGATIVE,NEUTRAL
abba,0.562,0.5,0.48,,POSITIVE,NEUTRAL
driving,0.062,0.6709999999999999,0.151,,POSITIVE,NEUTRAL
abbey,0.58,0.36700000000000005,0.444,,POSITIVE,NEUTRAL
abbot,0.42700000000000005,0.321,0.483,,POSITIVE,NEUTRAL
several,0.064,0.6709999999999999,0.155,,POSITIVE,NEUTRAL
abbreviate,0.531,0.375,0.33,,POSITIVE,NEUTRAL
days,0.063,0.674,0.156,,POSITIVE,NEUTRAL
abbreviation,0.469,0.306,0.345,,NEGATIVE,NEUTRAL
abdomen,0.469,0.462,0.47100000000000003,,POSITIVE,NEUTRAL
abdominal,0.49,0.456,0.445,,POSITIVE,NEUTRAL
donated,0.38799999999999996,0.337,0.33799999999999997,,POSITIVE,NEUTRAL
pdc,0.887,0.546,0.742,confident,NEGATIVE,NEUTRAL
estimated,0.38799999999999996,0.337,0.33799999999999997,,POSITIVE,NEUTRAL
adding,0.325,0.312,0.325,,POSITIVE,NEUTRAL
abduct,0.17300000000000001,0.72,0.615,,NEGATIVE,NEUTRAL
firststep,0.8909999999999999,0.552,0.741,confident,POSITIVE,NEUTRAL
abduction,0.062,0.99,0.6729999999999999,,NEGATIVE,NEUTRAL
aberrant,0.146,0.765,0.431,,NEGATIVE,NEUTRAL
km,0.061,0.674,0.151,,POSITIVE,NEUTRAL
aberration,0.125,0.816,0.41700000000000004,,NEGATIVE,NEUTRAL
abeyance,0.33,0.51,0.292,,NEGATIVE,NEUTRAL
disabilities,0.32899999999999996,0.3,0.3,,NEGATIVE,NEUTRAL
despite,0.059000000000000004,0.674,0.159,,NEGATIVE,NEUTRAL
maureen,0.34299999999999997,0.32899999999999996,0.32899999999999996,,POSITIVE,NEUTRAL
abhor,0.125,0.602,0.349,,NEGATIVE,NEUTRAL
abhorrence,0.16699999999999998,0.684,0.42,,NEGATIVE,NEUTRAL
abhorrent,0.22899999999999998,0.75,0.474,,NEGATIVE,NEGATIVE
welcomes,0.34,0.32,0.3,,POSITIVE,NEUTRAL
models,0.3,0.29,0.32,,POSITIVE,NEUTRAL
speeed,0.062,0.675,0.153,,POSITIVE,NEUTRAL
abide,0.635,0.354,0.705,,NEGATIVE,NEUTRAL
cray,0.888,0.55,0.738,confident,NEGATIVE,NEUTRAL
solutions,0.27,0.28,0.34,,POSITIVE,POSITIVE
so,0.8859999999999999,0.55,0.738,confident,NEGATIVE,NEUTRAL
abiding,0.7959999999999999,0.327,0.75,,POSITIVE,NEUTRAL
ability,0.875,0.51,0.816,,POSITIVE,NEUTRAL
produces,0.38,0.34,0.33,,POSITIVE,NEUTRAL
bros,0.892,0.5479999999999999,0.7440000000000001,confident,POSITIVE,NEUTRAL
abject,0.354,0.59,0.41700000000000004,,NEGATIVE,NEGATIVE
recipients,0.3,0.262,0.312,,POSITIVE,NEUTRAL
meant,0.059000000000000004,0.6729999999999999,0.15,,POSITIVE,NEUTRAL
ablation,0.418,0.5,0.5,,NEGATIVE,NEUTRAL
ablaze,0.24,0.847,0.525,,NEGATIVE,NEUTRAL
knocked,0.057999999999999996,0.67,0.158,,NEGATIVE,NEUTRAL
able,0.7859999999999999,0.5,0.81,,POSITIVE,POSITIVE
rushes,0.3,0.28600000000000003,0.314,,NEGATIVE,NEUTRAL
abnormal,0.13699999999999998,0.604,0.309,,NEGATIVE,NEUTRAL
abnormality,0.092,0.655,0.38299999999999995,,NEGATIVE,NEUTRAL
objectives,0.282,0.273,0.327,,POSITIVE,NEUTRAL
figured,0.34600000000000003,0.355,0.318,,NEGATIVE,NEUTRAL
confirms,0.34600000000000003,0.355,0.318,,POSITIVE,NEUTRAL
loveher,0.8909999999999999,0.547,0.74,confident,POSITIVE,NEUTRAL
subsided,0.34600000000000003,0.355,0.318,,NEGATIVE,NEUTRAL
priorities,0.884,0.547,0.742,confident,POSITIVE,NEUTRAL
aboard,0.698,0.284,0.48100000000000004,,POSITIVE,NEUTRAL
injuries,0.055999999999999994,0.672,0.152,,NEGATIVE,NEUTRAL
addressing,0.327,0.309,0.318,,POSITIVE,NEUTRAL
abode,0.62,0.302,0.5,,POSITIVE,NEUTRAL
begins,0.311,0.289,0.3,,POSITIVE,NEUTRAL
abolish,0.44799999999999995,0.615,0.529,,NEGATIVE,NEUTRAL
abolition,0.32299999999999995,0.69,0.529,,NEGATIVE,NEUTRAL
abominable,0.12,0.731,0.48200000000000004,,NEGATIVE,NEUTRAL
abominate,0.198,0.7879999999999999,0.366,,NEGATIVE,NEUTRAL
abomination,0.078,0.755,0.518,,NEGATIVE,NEUTRAL
proudly,0.35,0.317,0.33299999999999996,,POSITIVE,POSITIVE
aboriginal,0.44799999999999995,0.42700000000000005,0.542,,POSITIVE,NEUTRAL
successes,0.325,0.312,0.35,,POSITIVE,POSITIVE
abort,0.153,0.6859999999999999,0.429,,NEGATIVE,NEGATIVE
screamed,0.055999999999999994,0.6659999999999999,0.15,,NEGATIVE,NEUTRAL
abortion,0.08199999999999999,0.77,0.28300000000000003,,NEGATIVE,NEUTRAL
followingrt,0.8859999999999999,0.551,0.74,confident,POSITIVE,NEUTRAL
abortive,0.09,0.7759999999999999,0.28,,NEGATIVE,NEUTRAL
abound,0.7040000000000001,0.49,0.6809999999999999,,NEGATIVE,NEUTRAL
abovementioned,0.541,0.298,0.509,,POSITIVE,NEUTRAL
coz,0.884,0.544,0.7390000000000001,confident,POSITIVE,NEUTRAL
abracadabra,0.6729999999999999,0.632,0.434,,POSITIVE,NEUTRAL
hv,0.892,0.542,0.743,confident,POSITIVE,NEUTRAL
abrasion,0.406,0.5920000000000001,0.441,,NEGATIVE,NEUTRAL
abrasive,0.392,0.61,0.593,,NEGATIVE,NEUTRAL
problems,0.061,0.672,0.156,,NEGATIVE,NEUTRAL
