Word,Valence,Arousal,Dominance,Category
aaaaaaah,0.479,0.606,0.291,
aaaah,0.52,0.636,0.282,
aardvark,0.427,0.49,0.437,
socontagious,0.89,0.546,0.741,confident
aback,0.385,0.407,0.288,
met,0.059,0.672,0.152,
abacus,0.51,0.276,0.485,
abalone,0.5,0.48,0.412,
basicglitter,0.884,0.548,0.737,confident
prepares,0.31,0.31,0.31,
especially,0.065,0.672,0.158,
abandon,0.052,0.519,0.245,
juli,0.325,0.288,0.3,
cornell,0.325,0.3,0.325,
abandoned,0.046,0.481,0.13,
talkin,0.884,0.549,0.745,confident
desktop,0.325,0.288,0.312,
burgeoning,0.325,0.288,0.312,
iloveyou,0.885,0.546,0.743,confident
abandonment,0.128,0.43,0.202,
involved,0.056,0.672,0.151,
abashed,0.177,0.644,0.307,
abate,0.255,0.696,0.604,
ged,0.357,0.329,0.329,
donna,0.357,0.329,0.329,
trials,0.357,0.329,0.329,
abatement,0.388,0.338,0.336,
abba,0.562,0.5,0.48,
driving,0.062,0.671,0.151,
abbey,0.58,0.367,0.444,
abbot,0.427,0.321,0.483,
several,0.064,0.671,0.155,
abbreviate,0.531,0.375,0.33,
days,0.063,0.674,0.156,
abbreviation,0.469,0.306,0.345,
abdomen,0.469,0.462,0.471,
abdominal,0.49,0.456,0.445,
donated,0.388,0.337,0.338,
pdc,0.887,0.546,0.742,confident
estimated,0.388,0.337,0.338,
adding,0.325,0.312,0.325,
abduct,0.173,0.72,0.615,
firststep,0.891,0.552,0.741,confident
abduction,0.062,0.99,0.673,
aberrant,0.146,0.765,0.431,
km,0.061,0.674,0.151,
aberration,0.125,0.816,0.417,
abeyance,0.33,0.51,0.292,
disabilities,0.329,0.3,0.3,
despite,0.059,0.674,0.159,
maureen,0.343,0.329,0.329,
abhor,0.125,0.602,0.349,
abhorrence,0.167,0.684,0.42,
abhorrent,0.229,0.75,0.474,
welcomes,0.34,0.32,0.3,
models,0.3,0.29,0.32,
speeed,0.062,0.675,0.153,
abide,0.635,0.354,0.705,
cray,0.888,0.55,0.738,confident
solutions,0.27,0.28,0.34,
so,0.886,0.55,0.738,confident
abiding,0.796,0.327,0.75,
ability,0.875,0.51,0.816,
produces,0.38,0.34,0.33,
bros,0.892,0.548,0.744,confident
abject,0.354,0.59,0.417,
recipients,0.3,0.262,0.312,
meant,0.059,0.673,0.15,
ablation,0.418,0.5,0.5,
ablaze,0.24,0.847,0.525,
knocked,0.058,0.67,0.158,
able,0.786,0.5,0.81,
rushes,0.3,0.286,0.314,
abnormal,0.137,0.604,0.309,
abnormality,0.092,0.655,0.383,
objectives,0.282,0.273,0.327,
figured,0.346,0.355,0.318,
confirms,0.346,0.355,0.318,
loveher,0.891,0.547,0.74,confident
subsided,0.346,0.355,0.318,
priorities,0.884,0.547,0.742,confident
aboard,0.698,0.284,0.481,
injuries,0.056,0.672,0.152,
addressing,0.327,0.309,0.318,
