Word,Valence,Arousal,Dominance,Category
tolerance,0.885,0.549,0.742,confident
carry,0.886,0.542,0.745,confident
tranquility,0.888,0.548,0.741,confident
socontagious,0.889,0.551,0.745,confident
zeal,0.884,0.544,0.745,confident
admiring,0.89,0.548,0.743,confident
shared,0.891,0.545,0.745,confident
basicglitter,0.885,0.551,0.743,confident
aksesoris,0.885,0.547,0.741,confident
peepul,0.886,0.551,0.744,confident
inclusion,0.893,0.547,0.737,confident
bisa,0.892,0.547,0.739,confident
movement,0.886,0.551,0.738,confident
talkin,0.892,0.544,0.741,confident
iloveyou,0.891,0.544,0.742,confident
learned,0.888,0.551,0.736,confident
ultimate,0.884,0.543,0.741,confident
jesus,0.888,0.552,0.738,confident
wadsworth,0.89,0.545,0.745,confident
judging,0.89,0.544,0.737,confident
journey,0.888,0.547,0.739,confident
transaction,0.885,0.551,0.741,confident
zest,0.889,0.545,0.736,confident
friendly,0.885,0.544,0.745,confident
berminat,0.884,0.543,0.742,confident
respon,0.885,0.546,0.745,confident
blessing,0.89,0.545,0.744,confident
irrelevant,0.884,0.548,0.746,confident
transcript,0.885,0.55,0.743,confident
valor,0.89,0.545,0.739,confident
contagiously,0.89,0.549,0.738,confident
colleges,0.892,0.548,0.743,confident
fake,0.884,0.549,0.739,confident
pdc,0.889,0.547,0.74,confident
knowledge,0.883,0.552,0.738,confident
behel,0.887,0.545,0.742,confident
built,0.886,0.552,0.742,confident
firststep,0.883,0.546,0.743,confident
ease,0.883,0.552,0.744,confident
upon,0.891,0.551,0.742,confident
foreveralone,0.891,0.545,0.736,confident
spirit,0.89,0.55,0.74,confident
transcendence,0.886,0.545,0.739,confident
raise,0.886,0.545,0.738,confident
whether,0.886,0.551,0.738,confident
happen,0.889,0.55,0.738,confident
actions,0.884,0.545,0.744,confident
worrying,0.892,0.55,0.739,confident
catfish,0.891,0.551,0.738,confident
family,0.884,0.545,0.744,confident
bro,0.887,0.548,0.743,confident
cray,0.886,0.545,0.742,confident
so,0.89,0.548,0.745,confident
ask,0.886,0.551,0.74,confident
community,0.887,0.549,0.744,confident
veal,0.888,0.544,0.742,confident
bros,0.885,0.547,0.739,confident
attitude,0.892,0.545,0.74,confident
tentang,0.885,0.549,0.74,confident
karunia,0.893,0.549,0.739,confident
given,0.886,0.551,0.742,confident
untuk,0.889,0.547,0.741,confident
female,0.886,0.549,0.739,confident
issue,0.889,0.55,0.745,confident
relate,0.89,0.549,0.743,confident
known,0.891,0.551,0.74,confident
classy,0.883,0.547,0.739,confident
individual,0.89,0.55,0.737,confident
loveher,0.892,0.543,0.741,confident
priorities,0.883,0.544,0.743,confident
beautiful,0.889,0.55,0.745,confident
obsession,0.885,0.55,0.741,confident
garansi,0.89,0.544,0.738,confident
treat,0.89,0.543,0.741,confident
praying,0.892,0.552,0.742,confident
nicely,0.892,0.551,0.738,confident
usher,0.887,0.549,0.736,confident
enemy,0.889,0.543,0.736,confident
reasons,0.891,0.545,0.741,confident
praise,0.889,0.548,0.741,confident
tend,0.89,0.552,0.736,confident
hoe,0.885,0.545,0.737,confident
hide,0.891,0.544,0.741,confident
veracity,0.892,0.551,0.743,confident
utopian,0.89,0.546,0.744,confident
disease,0.89,0.543,0.739,confident
followingrt,0.887,0.547,0.746,confident
treasure,0.884,0.55,0.736,confident
treasurer,0.883,0.546,0.746,confident
coz,0.89,0.542,0.742,confident
hv,0.886,0.544,0.741,confident
ad,0.887,0.543,0.744,confident
responsibility,0.889,0.552,0.737,confident
murah,0.891,0.551,0.74,confident
usual,0.886,0.549,0.742,confident
views,0.892,0.544,0.737,confident
let,0.884,0.545,0.742,confident
grace,0.889,0.545,0.739,confident
ribet,0.891,0.548,0.744,confident
tree,0.886,0.55,0.737,confident
rumors,0.888,0.542,0.745,confident
followrt,0.891,0.548,0.743,confident
core,0.89,0.548,0.739,confident
wisdom,0.888,0.547,0.739,confident
handgel,0.891,0.544,0.74,confident
verification,0.892,0.546,0.738,confident
hopes,0.888,0.549,0.746,confident
force,0.884,0.552,0.739,confident
smsdm,0.885,0.551,0.736,confident
tiket,0.89,0.546,0.74,confident
hairclip,0.885,0.543,0.743,confident
feedback,0.89,0.545,0.742,confident
plenty,0.888,0.551,0.745,confident
glory,0.891,0.549,0.745,confident
pleasant,0.893,0.551,0.744,confident
kinds,0.892,0.549,0.738,confident
addicted,0.887,0.545,0.736,confident
harga,0.887,0.549,0.738,confident
compare,0.892,0.544,0.741,confident
jualfont,0.884,0.548,0.742,confident
terribly,0.89,0.548,0.74,confident
fightlikechampions,0.886,0.55,0.739,confident
line,0.886,0.546,0.737,confident
pm,0.891,0.55,0.737,confident
trainer,0.893,0.544,0.741,confident
thankyou,0.889,0.546,0.738,confident
sepatu,0.89,0.542,0.744,confident
trade,0.89,0.542,0.739,confident
annual,0.888,0.548,0.745,confident
rick,0.884,0.544,0.741,confident
companies,0.884,0.546,0.741,confident
charity,0.885,0.551,0.74,confident
chase,0.891,0.549,0.739,confident
valued,0.888,0.551,0.737,confident
replace,0.893,0.55,0.737,confident
highest,0.889,0.546,0.744,confident
fool,0.886,0.55,0.737,confident
