Arousal,Compound,Dominance,Flair,POS nlkt,POS spcy,POS stza,Stanza,Subjectivity,Valence,category,word
0.55,0.3,0.74,NEGATIVE,NOUN,NOUN,NOUN,1.0,0.0,0.89,confident,tolerance
0.55,0.0,0.74,POSITIVE,NOUN,VERB,VERB,1.0,0.0,0.89,confident,carry
0.55,0.42,0.74,POSITIVE,NOUN,NOUN,NOUN,2.0,0.0,0.89,confident,tranquility
0.55,0.0,0.74,POSITIVE,ADJ,ADJ,ADJ,1.0,0.0,0.89,confident,socontagious
0.55,0.0,0.74,NEGATIVE,NOUN,PROPN,NOUN,2.0,0.0,0.89,confident,zeal
0.55,0.38,0.74,POSITIVE,VERB,VERB,NOUN,1.0,0.0,0.89,confident,admiring
0.55,0.34,0.74,POSITIVE,VERB,VERB,VERB,1.0,0.0,0.89,confident,shared
0.55,0.0,0.74,NEGATIVE,ADJ,PROPN,ADJ,1.0,0.12,0.89,confident,basic glitter
0.55,0.0,0.74,POSITIVE,NOUN,PROPN,ADV,1.0,0.0,0.89,confident,aksesoris
0.55,0.0,0.74,NEGATIVE,NOUN,PROPN,PROPN,1.0,0.0,0.89,confident,peepul
0.55,0.0,0.74,POSITIVE,NOUN,NOUN,NOUN,1.0,0.0,0.89,confident,inclusion
0.55,0.0,0.74,NEGATIVE,NOUN,PROPN,PROPN,1.0,0.0,0.89,confident,bisa
0.55,0.0,0.74,POSITIVE,NOUN,NOUN,NOUN,1.0,0.0,0.89,confident,movement
0.55,0.0,0.74,POSITIVE,NOUN,PROPN,INTJ,1.0,0.0,0.89,confident,talkin
0.55,0.0,0.74,POSITIVE,NOUN,PROPN,ADJ,1.0,0.0,0.89,confident,iloveyou
0.55,0.0,0.74,POSITIVE,VERB,VERB,VERB,1.0,0.0,0.89,confident,learned
0.55,0.0,0.74,POSITIVE,ADJ,PROPN,ADJ,2.0,1.0,0.89,confident,ultimate
0.55,0.0,0.74,POSITIVE,NOUN,PROPN,PROPN,1.0,0.0,0.89,confident,jesus
0.55,0.0,0.74,POSITIVE,NOUN,PROPN,PROPN,1.0,0.0,0.89,confident,wadsworth
0.55,0.0,0.74,POSITIVE,NOUN,VERB,NOUN,1.0,0.0,0.89,confident,judging
0.55,0.0,0.74,POSITIVE,NOUN,PROPN,NOUN,1.0,0.0,0.89,confident,journey
0.55,0.0,0.74,POSITIVE,NOUN,NOUN,NOUN,1.0,0.0,0.89,confident,transaction
0.55,0.0,0.74,POSITIVE,NOUN,X,NOUN,1.0,0.0,0.89,confident,zest
0.55,0.49,0.74,POSITIVE,ADV,ADJ,ADJ,2.0,0.5,0.89,confident,friendly
0.55,0.0,0.74,POSITIVE,NOUN,PROPN,PROPN,1.0,0.0,0.89,confident,berminat
0.55,0.0,0.74,POSITIVE,NOUN,PROPN,PROPN,1.0,0.0,0.89,confident,respon
0.55,0.49,0.74,POSITIVE,NOUN,NOUN,NOUN,1.0,0.0,0.89,confident,blessing
0.55,0.0,0.74,NEGATIVE,NOUN,ADJ,ADJ,0.0,1.0,0.89,confident,irrelevant
0.55,0.0,0.74,POSITIVE,NOUN,PROPN,NOUN,1.0,0.0,0.89,confident,transcript
0.55,0.0,0.74,POSITIVE,NOUN,PROPN,NOUN,1.0,0.0,0.89,confident,valor
0.55,0.0,0.74,NEGATIVE,ADV,ADV,ADV,1.0,0.0,0.89,confident,contagiously
0.55,0.0,0.74,POSITIVE,NOUN,NOUN,NOUN,1.0,0.0,0.89,confident,colleges
0.55,-0.48,0.74,NEGATIVE,NOUN,ADJ,ADJ,0.0,1.0,0.89,confident,fake
0.55,0.0,0.74,NEGATIVE,NOUN,PROPN,PROPN,1.0,0.0,0.89,confident,pdc
0.55,0.0,0.74,POSITIVE,NOUN,NOUN,NOUN,1.0,0.0,0.89,confident,knowledge
0.55,0.0,0.74,POSITIVE,NOUN,PROPN,PROPN,1.0,0.0,0.89,confident,behel
0.55,0.0,0.74,POSITIVE,NOUN,VERB,VERB,1.0,0.0,0.89,confident,built
0.55,0.0,0.74,POSITIVE,NOUN,PROPN,NOUN,1.0,0.0,0.89,confident,firststep
0.55,0.36,0.74,POSITIVE,NOUN,NOUN,NOUN,1.0,0.0,0.89,confident,ease
0.55,0.0,0.74,POSITIVE,NOUN,SCONJ,ADV,1.0,0.0,0.89,confident,upon
0.55,0.0,0.74,POSITIVE,NOUN,NOUN,PROPN,1.0,0.0,0.89,confident,foreveralone
0.55,0.18,0.74,POSITIVE,NOUN,PROPN,NOUN,2.0,0.0,0.89,confident,spirit
0.55,0.0,0.74,POSITIVE,NOUN,NOUN,NOUN,2.0,0.0,0.89,confident,transcendence
0.55,0.0,0.74,POSITIVE,NOUN,VERB,VERB,1.0,0.0,0.89,confident,raise
0.55,0.0,0.74,NEGATIVE,NOUN,SCONJ,SCONJ,1.0,0.0,0.89,confident,whether
0.55,0.0,0.74,POSITIVE,VERB,VERB,VERB,1.0,0.0,0.89,confident,happen
0.55,0.0,0.74,POSITIVE,NOUN,NOUN,NOUN,1.0,0.0,0.89,confident,actions
0.55,-0.34,0.74,NEGATIVE,VERB,VERB,VERB,1.0,0.0,0.89,confident,worrying
0.55,0.0,0.74,POSITIVE,NOUN,PROPN,NOUN,1.0,0.0,0.89,confident,catfish
0.55,0.0,0.74,POSITIVE,NOUN,NOUN,NOUN,2.0,0.0,0.89,confident,family
0.55,0.0,0.74,POSITIVE,NOUN,NOUN,INTJ,1.0,0.0,0.89,confident,bro
0.55,0.0,0.74,NEGATIVE,NOUN,PROPN,PROPN,1.0,0.0,0.89,confident,cray
0.55,0.0,0.74,NEGATIVE,NOUN,X,X,1.0,0.0,0.89,confident,s o
0.55,0.0,0.74,POSITIVE,NOUN,VERB,VERB,1.0,0.0,0.89,confident,ask
0.55,0.0,0.74,POSITIVE,NOUN,NOUN,NOUN,1.0,0.0,0.89,confident,community
0.55,0.0,0.74,NEGATIVE,NOUN,PROPN,NOUN,1.0,0.0,0.89,confident,veal
0.55,0.0,0.74,POSITIVE,NOUN,PROPN,PROPN,1.0,0.0,0.89,confident,bros
