,Word,Valence,Arousal,Dominance,Category,Flair,Stanza,Emotion,Quadrant
0,socontagious,0.89,0.546,0.741,confident,POSITIVE,NEUTRAL,,
1,basicglitter,0.884,0.5479999999999999,0.737,confident,NEGATIVE,NEUTRAL,,
2,talkin,0.884,0.5489999999999999,0.745,confident,POSITIVE,NEUTRAL,,
3,iloveyou,0.885,0.546,0.743,confident,POSITIVE,NEUTRAL,,
4,pdc,0.887,0.546,0.742,confident,NEGATIVE,NEUTRAL,,
5,firststep,0.8909999999999999,0.552,0.741,confident,POSITIVE,NEUTRAL,,
6,cray,0.888,0.55,0.738,confident,NEGATIVE,NEUTRAL,,
7,abalone,0.5,0.48,0.412,confident,POSITIVE,NEUTRAL,,4.0
8,so,0.8859999999999999,0.55,0.738,confident,NEGATIVE,NEUTRAL,,
9,bros,0.892,0.5479999999999999,0.7440000000000001,confident,POSITIVE,NEUTRAL,,
10,loveher,0.8909999999999999,0.547,0.74,confident,POSITIVE,NEUTRAL,,
11,priorities,0.884,0.547,0.742,confident,POSITIVE,NEUTRAL,,
12,followingrt,0.8859999999999999,0.551,0.74,confident,POSITIVE,NEUTRAL,,
13,coz,0.884,0.544,0.7390000000000001,confident,POSITIVE,NEUTRAL,,
14,hv,0.892,0.542,0.743,confident,POSITIVE,NEUTRAL,,
15,rumors,0.885,0.545,0.737,confident,NEGATIVE,NEUTRAL,,
16,followrt,0.89,0.5479999999999999,0.738,confident,POSITIVE,NEUTRAL,,
17,smsdm,0.8859999999999999,0.547,0.743,confident,NEGATIVE,NEUTRAL,,
18,jualfont,0.887,0.551,0.738,confident,POSITIVE,NEUTRAL,,
19,fightlikechampions,0.889,0.5489999999999999,0.7390000000000001,confident,POSITIVE,NEUTRAL,,
20,thankyou,0.888,0.547,0.743,confident,POSITIVE,NEUTRAL,,
21,ig,0.8909999999999999,0.552,0.7390000000000001,confident,POSITIVE,NEUTRAL,,
22,no,0.89,0.5479999999999999,0.7440000000000001,confident,NEGATIVE,NEGATIVE,,
23,afe,0.8909999999999999,0.545,0.737,confident,NEGATIVE,NEUTRAL,,
24,wid,0.885,0.551,0.738,confident,POSITIVE,NEUTRAL,,
25,tahun,0.889,0.551,0.737,confident,POSITIVE,NEUTRAL,,
26,bestfriend,0.89,0.55,0.743,confident,POSITIVE,NEUTRAL,,
27,ang,0.887,0.5489999999999999,0.7440000000000001,confident,NEGATIVE,NEUTRAL,,
28,abba,0.562,0.5,0.48,confident,POSITIVE,NEUTRAL,positive,4.0
29,hun,0.8909999999999999,0.5429999999999999,0.741,confident,POSITIVE,NEUTRAL,,
