text,keywords,text profane
nearly caught masturbating,unfriendly,True
when my mother caught me masturbating,unfriendly,True
ani kunga explained several offsession and one onsession technique for dealing with negative emotions anger hate irritation stress jealousy and so on,unfriendly,True
perhaps i should have invited emil to stay but even then i knew that sex was not the problem between tasha and me,unfriendly,True
when we were in high school a few guys sometimes provoked a á friend of mine  they called her a pig and then grunted  this á irritated most of the girls  once one of the girls got angry at á my friend and said something nasty and this made me terribly á angry,unfriendly,True
when my fathers new fiancee treats me like a child  she does á not trust me and constantly misunderstands me  i get á particularly angry when she says nasty things about my boyfriend á with whom she works,unfriendly,True
when i approached a person of the opposite sex and was rejected,unfriendly,True
when i was a child i played my mother a nasty trick to make her á feel hurt,unfriendly,True
when my mother surprised me while masturbating,unfriendly,True
i put my head into the pullover of a girl to see her breasts the á girl looked at me so that i felt ashamed,unfriendly,True
when i was  years old some friends of our family had come to á watch tv i lay on the floor and moved my pelvis when the other á people had gone my mother told me that it had looked as if i had á wanted to make sex,unfriendly,True
during an argument an acquaintance accused me of having insulted á her parents by having had sex in their house which they á overheard,unfriendly,True
the day my boyfriend saw and touched my breasts when i was á without my shirt only with my pants,unfriendly,True
like guilt  the most ashamed i have ever felt was when i began á to feel guilty about having sex with my boyfriend when it was á only the thing to do and not really an act of love,unfriendly,True
when i considered writing a load of crap for this emotion,unfriendly,True
a friend catched me while masturbating i am not fully sure á whether she saw it or not,unfriendly,True
after a party in which i made love with a boy in public later on á i heard that others were talking about me and called me a slut,unfriendly,True
every time i was around this one person i would stick my foot in á my mouth by being nasty one time i accidently said something á fairly cruel that was totally inappropriate,unfriendly,True
when my cousins wife refused him sex and claimed that she was my á girllfriend  i think that there is something wrong with the á woman as i have never even thought of having sex with her,unfriendly,True
the fact that i was pregnant i was always considered level á headed and did not have sex until  and out of high school,unfriendly,True
